names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
ORCL,164545378.8,174719214.3,183556053.2,184996192.6,186765506.8,207413235.5,206544532.3,208199205.1,201788048.1,212430437.4,204751223.2,195720382.6,213562067.2,209753633.3,186765819.8,186439234.7,190725663.4,175409689.3,189821470.4,193404509.9,195307217.6,185003966.4,184700929.6,162039692.9,180271401.4,187090347.5,183562196.3,189098795.8,172933292.4,190041608.4,187806609.7,173662737.1,180636910.5,178864351.3,184280504.4,169941244.0,168241190.1,158650319.5,152412714.7,167045344.5,169568211.7,169606054.1,170158416.9,175589984.0,179750013.6,168940925.7,173788455.4,190449559.5,177907974.6,189919633.3,202337651.0,218543117.7,227049545.9,217329280.0,243294880.0,248850960.0,238186061.2,262269834.8,248054667.6,232889682.9
MSFT,499584814.5,494407369.4,508636780.0,528546456.9,539200767.6,531312440.0,559953138.8,575896783.9,574722604.2,641699596.2,649337040.3,659085700.0,731557332.9,722009589.6,701866300.0,718532677.0,759407290.3,757028970.0,813444459.4,861370815.6,878361600.0,819896951.4,851215924.9,780362310.0,801209203.6,859518022.4,904128040.0,1000764031.0,947737330.2,1023856280.0,1040477184.0,1052617485.0,1061355020.0,1093741916.0,1154848652.0,1200254700.0,1294777381.0,1232255674.0,1197018900.0,1359028282.0,1389665380.0,1540774210.0,1551444542.0,1706732781.0,1590936120.0,1530773625.0,1618475379.0,1678381320.0,1749492423.0,1752660154.0,1776291180.0,1899312584.0,1880483646.0,2036897100.0,2141067595.0,2268595295.0,2116626322.0,2489796328.0,2482063108.0,2525083834.0
KO,179289705.6,180153665.5,182153116.6,184360920.9,194273257.7,191624271.2,195521535.4,194284597.2,191981333.0,195905468.7,195010728.6,195479402.0,202765142.5,184372500.5,185207191.6,184269001.8,182976309.0,186635835.2,198313752.9,189552733.5,196442467.2,203801890.3,214528305.6,201545937.9,204866018.8,193843915.6,200334044.5,209295601.9,209594230.0,217230575.8,225047301.0,235352526.1,232786909.9,233204845.1,228791819.4,237146576.9,249952000.0,229486863.2,189983038.5,197092548.0,200485511.9,191895729.9,202916538.4,212753093.7,212065823.4,206534726.1,221747646.0,235671335.4,206921495.3,211113194.9,227143835.5,232744540.4,238392842.5,233305058.9,246369600.0,243259200.0,226670400.0,243518400.0,226584000.0,255787200.0
XOM,347866075.8,337194518.5,340055613.1,346174117.8,341099913.0,342074484.2,339137964.2,323418301.0,347357949.9,353153950.0,352908558.7,354391545.8,369899353.8,320945371.9,316157039.8,329193500.0,343956674.2,350265086.8,345113340.0,339424547.7,359958526.2,337349980.8,336587656.5,288703299.3,310253377.0,334850110.0,342349600.0,339664680.0,299434522.4,324228733.2,314624149.8,289746138.9,298758394.7,285895832.4,288265251.8,295246576.7,263016080.0,217703905.0,160696292.3,196588082.1,192256754.2,189085595.9,177923118.9,168875626.0,145155238.9,137924960.5,161222562.4,174287805.5,189594012.6,230174470.7,236355355.9,242024114.2,247111671.4,267051640.1,243724840.2,230813854.8,249018175.7,272937806.6,253336649.3,259051964.7
FB,306925493.8,319219470.7,335854497.0,355242085.0,358170033.2,357671620.0,401178860.3,407626166.0,407524950.0,429406727.9,422538509.6,422974620.0,447773862.6,427240811.0,384443874.3,412560232.0,460004658.7,468894160.0,416207734.4,423804526.4,395032920.0,364670314.1,337810744.3,314939267.9,397644662.5,385144464.3,400735761.8,464651816.2,426379306.2,464551000.0,467263578.3,446670589.4,428816640.0,461199592.2,485240207.5,494036750.0,485744174.9,463033932.6,401320800.0,492235839.9,542122062.1,546330420.0,609894214.9,704935482.4,630131400.0,632508283.6,665827293.9,657222960.0,621399381.8,619691513.8,707230737.5,778906958.8,787652530.3,830679190.0,849352215.6,904370596.6,806390640.0,765656572.5,767762559.9,783022800.0
ABBV,99309799.89,98568012.8,103837477.3,105080467.4,105073536.8,115402637.9,111264631.3,120035353.5,141651281.7,143867073.8,154725995.6,154390745.3,179151374.6,183934912.6,150179924.6,153194629.9,157005808.3,147024339.4,146357850.2,145339922.5,143219940.3,117886153.1,141802442.3,138673673.0,120773502.6,116885656.2,119125317.4,117351519.4,113402847.7,107506702.8,98488676.3,97195538.16,111950808.5,117613402.2,129736966.3,130934811.3,119814077.4,126778546.5,112507715.9,121382520.6,163316233.1,173026737.6,167263879.2,169018056.4,154581722.5,150187288.3,184633270.9,189170539.1,180925775.5,190256126.7,190989469.7,196778099.0,199936330.4,198947246.1,205411618.6,213439517.3,190625275.1,202642071.9,203801206.4,239370952.0
PEP,148839511.7,157535881.3,159763262.0,161820593.3,166948911.9,164977580.5,166228721.1,164974272.3,158844579.3,156762822.9,165708102.4,170286400.0,170826000.0,155806504.8,154883850.0,143117678.1,142139362.3,154051050.0,162647030.0,158418207.2,157813302.4,158632011.8,172126601.9,155666320.0,158752030.0,162437889.0,172060200.0,179503307.1,179433216.0,183450870.0,178700107.7,191171784.1,191177038.5,191274649.0,189406106.1,190107970.0,197549820.0,183461626.4,166818900.0,183552375.0,182525625.0,183180100.0,190608578.8,193931698.0,191539101.6,184200915.2,199319513.9,204654000.0,188466600.0,178231686.7,195483900.0,199175925.0,204398490.1,204770940.0,216922949.3,216148964.9,207964837.7,223436724.8,220920296.3,240240930.0
COP,60414956.52,58788528.24,61630941.84,59267113.41,55286177.76,54383091.84,55212976.13,53131993.34,60908297.45,61150643.4,60827854.08,65621873.24,70308295.96,63791331.18,69640729.62,76639323.0,78850747.74,81459994.92,83868396.15,85332635.85,89946153.0,80471815.8,76189195.56,71779938.7,77054843.81,76969311.4,75710122.96,71336709.12,66635176.96,68940736.0,65587189.36,57927209.56,63255891.16,60569248.8,65770303.86,71355403.07,65210696.67,52348411.44,33167288.0,45335806.0,45234886.5,45063298.5,40103242.74,40639525.74,35223067.44,30564929.34,42248378.92,42710719.65,54225638.75,70459767.35,71754486.25,69149002.14,75216559.32,82179556.2,75648373.08,74359223.46,90749587.14,99748218.18,92497753.11,95201594.46
AMGN,115661176.0,130006048.1,120771927.0,120105364.7,114163340.8,125848461.0,127335584.3,129714324.8,135474570.0,127194125.4,127513526.3,125590580.0,134365310.0,132417678.7,113607872.0,115454462.9,118855631.7,119798910.0,127221311.6,129331418.3,132769245.0,122849451.0,132700856.8,122564232.0,117804456.0,118282602.2,116723712.0,109373723.5,101676331.2,110954988.0,111892212.6,125109622.6,115370662.0,126709738.0,139466868.5,142568798.0,127771970.0,117802152.1,119205240.0,140720447.3,135120335.9,138308304.0,143301751.0,148368004.1,148302360.0,126295742.9,129264804.8,132962736.0,139618969.0,129906144.7,143140393.0,137686120.6,136709378.8,138840000.0,137158972.1,128067661.6,120147250.0,116579164.0,112022342.1,125600751.0
CVX,210203078.2,212974087.5,203262469.1,202149765.4,196048758.4,197659131.8,206915377.6,203940222.9,222662852.5,219611897.7,226006512.3,237782631.1,238086530.9,213795515.8,217845252.1,239080205.6,237531955.1,241602293.5,241296540.4,226986773.6,234306455.2,213937812.6,227267459.6,207873103.5,219070239.1,227209533.5,234049760.3,228703734.7,216874231.2,237047249.3,234513716.3,223481767.0,225152374.8,220482266.5,221477837.4,227868984.7,202588026.1,175416195.5,136175889.5,171762068.0,171201974.3,166590536.2,156714217.3,156724419.4,134447256.0,133791114.0,167826033.4,162570641.4,164014430.4,192637700.0,201865045.8,198725041.1,200601056.6,202437177.7,196774193.8,187144664.2,196195372.4,221413584.9,217577918.8,226213952.1
