Date,Total Market,T
2017-01-31,0.01919,1
2017-02-28,0.03717,2
2017-03-31,0.00081,3
2017-04-28,0.01058,4
2017-05-31,0.01021,5
2017-06-30,0.00927,6
2017-07-31,0.01872,7
2017-08-31,0.00163,8
2017-09-29,0.02460,9
2017-10-31,0.02165,10
2017-11-30,0.03046,11
2017-12-29,0.01011,12
2018-01-31,0.05326,13
2018-02-28,-0.03722,14
2018-03-29,-0.01977,15
2018-04-30,0.00381,16
2018-05-31,0.02809,17
2018-06-29,0.00687,18
2018-07-31,0.03343,19
2018-08-31,0.03447,20
2018-09-28,0.00166,21
2018-10-31,-0.07394,22
2018-11-30,0.02069,23
2018-12-31,-0.09290,24
2019-01-31,0.08627,25
2019-02-28,0.03504,26
2019-03-29,0.01448,27
2019-04-30,0.03980,28
2019-05-31,-0.06439,29
2019-06-28,0.06986,30
2019-07-31,0.01452,31
2019-08-30,-0.02019,32
2019-09-30,0.01716,33
2019-10-31,0.02110,34
2019-11-29,0.03776,35
2019-12-31,0.02866,36
2020-01-31,-0.00068,37
2020-02-28,-0.08169,38
2020-03-31,-0.13782,39
2020-04-30,0.13262,40
2020-05-29,0.05386,41
2020-06-30,0.02288,42
2020-07-31,0.05645,43
2020-08-31,0.07183,44
2020-09-30,-0.03561,45
2020-10-30,-0.02148,46
2020-11-30,0.12208,47
2020-12-31,0.04461,48
2021-01-29,-0.00320,49
2021-02-26,0.03184,50
2021-03-31,0.03474,51
2021-04-30,0.05141,52
2021-05-28,0.00429,53
2021-06-30,0.02553,54
2021-07-30,0.01712,55
2021-08-31,0.02870,56
2021-09-30,-0.04483,57
2021-10-29,0.06722,58
2021-11-30,-0.01483,59
2021-12-31,0.03820,60
2022-01-31,-0.06029,61
2022-02-28,-0.02543,62
2022-03-31,0.03254,63
2022-04-29,-0.09017,64
2022-05-31,-0.00260,65
2022-06-30,-0.08368,66
2022-07-29,0.09398,67
2022-08-31,-0.03728,68
2022-09-30,-0.09269,69
2022-10-31,0.08166,70
2022-11-30,0.05232,71
2022-12-30,-0.05866,72
2023-01-31,0.06899,73
2023-02-28,-0.02333,74
2023-03-31,0.02634,75
2023-04-28,0.01051,76
2023-05-31,0.00415,77
2023-06-30,0.06842,78
2023-07-31,0.03574,79
2023-08-31,-0.01940,80
2023-09-29,-0.04786,81
