names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
ORCL,0.04723,0.06183,0.04743,0.0122,0.00956,0.10465,-0.00044,0.00801,-0.03934,0.05689,-0.03615,-0.03628,0.09538,-0.01783,-0.0971,0.00237,0.02299,-0.05693,0.0864,0.01888,0.06134,-0.04893,-0.00164,-0.07404,0.11688,0.03783,0.03031,0.03474,-0.08549,0.12589,-0.00771,-0.07531,0.05705,-0.00545,0.03028,-0.05629,-0.00561,-0.05701,-0.02285,0.10105,0.0151,0.0279,0.00747,0.03192,0.04334,-0.05641,0.02869,0.12076,-0.06227,0.06752,0.08774,0.08476,0.03892,-0.01143,0.12353,0.02284,-0.02244,0.10485,-0.0542,-0.0389
MSFT,0.04039,-0.00439,0.02938,0.03948,0.02589,-0.01303,0.05469,0.03395,-0.00374,0.11666,0.01702,0.01628,0.11071,-0.00849,-0.02666,0.02465,0.06146,-0.00233,0.07575,0.06305,0.01816,-0.0661,0.04275,-0.08405,0.02816,0.07738,0.05275,0.10734,-0.04953,0.08312,0.01724,0.01514,0.00849,0.03122,0.05947,0.04175,0.07945,-0.0457,-0.02654,0.13633,0.02535,0.11056,0.00737,0.10277,-0.0674,-0.03737,0.0601,0.03901,0.04289,0.00411,0.01459,0.0696,-0.00763,0.08499,0.05172,0.0616,-0.06612,0.17629,-0.00128,0.01733
KO,0.00265,0.00938,0.02034,0.01673,0.05377,-0.00553,0.02207,-0.00633,-0.00393,0.02155,0.00348,0.0024,0.03727,-0.09183,0.01381,-0.00507,-0.00486,0.02913,0.06316,-0.04418,0.04517,0.03659,0.06101,-0.06052,0.01647,-0.05797,0.04257,0.04695,0.00143,0.04454,0.03358,0.04579,-0.00361,-0.00018,-0.01157,0.03652,0.0551,-0.08408,-0.16574,0.03706,0.01722,-0.03424,0.0573,0.04848,0.00483,-0.02653,0.08219,0.06279,-0.12199,0.01745,0.08491,0.02409,0.02427,-0.01394,0.05396,-0.01262,-0.06117,0.07433,-0.06209,0.12888
XOM,-0.07057,-0.02171,0.00848,-0.00439,-0.00482,0.00286,-0.00855,-0.03705,0.07402,0.01671,0.00856,0.0042,0.04376,-0.1236,-0.01492,0.04209,0.05543,0.01834,-0.01475,-0.00628,0.0605,-0.06281,0.00786,-0.14226,0.07464,0.09042,0.0224,-0.00644,-0.10844,0.0828,-0.02962,-0.06757,0.0311,-0.04305,0.02068,0.02422,-0.10977,-0.15991,-0.26186,0.22386,-0.00222,-0.01649,-0.05903,-0.03213,-0.14046,-0.04981,0.1965,0.08104,0.08782,0.23337,0.02685,0.02526,0.03452,0.08069,-0.08735,-0.03861,0.07887,0.09606,-0.05909,0.02256
FB,0.13272,0.04006,0.04803,0.05773,0.00805,-0.00317,0.12101,0.01607,-0.0064,0.05378,-0.01599,-0.00406,0.05911,-0.04586,-0.10391,0.07641,0.115,0.01324,-0.11188,0.01825,-0.06413,-0.07704,-0.07365,-0.0677,0.27157,-0.03144,0.03246,0.16024,-0.08237,0.08751,0.00637,-0.04407,-0.04088,0.0762,0.05213,0.0179,-0.01627,-0.04675,-0.13337,0.22728,0.09956,0.0088,0.11714,0.15583,-0.10675,0.00462,0.05268,-0.01376,-0.05429,-0.00275,0.14327,0.10372,0.01123,0.05774,0.0247,0.06478,-0.10541,-0.04661,0.00275,0.03665
ABBV,-0.0139,0.01195,0.05369,0.02206,0.00121,0.0983,-0.02727,0.0771,0.18008,0.02275,0.07391,-0.00217,0.16868,0.03217,-0.18285,0.0307,0.02475,-0.06357,0.00546,0.04066,-0.01459,-0.16817,0.21092,-0.02206,-0.11809,-0.01308,0.01704,-0.00184,-0.03376,-0.05201,-0.06994,-0.01321,0.15181,0.06585,0.10283,0.00923,-0.07269,0.05789,-0.11107,0.09438,0.12737,0.05946,-0.02177,0.00906,-0.08541,-0.01511,0.22891,0.02457,-0.03245,0.05133,0.00446,0.04296,0.01525,-0.00495,0.04393,0.03852,-0.10689,0.07573,0.00532,0.17453
PEP,-0.00812,0.0636,0.02036,0.01269,0.0388,-0.01181,0.0097,-0.00061,-0.03716,-0.01077,0.06437,0.02918,0.00317,-0.08786,0.00212,-0.07522,0.00235,0.08599,0.05631,-0.026,0.00628,0.00519,0.08507,-0.08679,0.01982,0.03459,0.05975,0.04488,-0.00039,0.03187,-0.02532,0.06979,0.00975,0.00051,-0.00977,0.01323,0.03915,-0.07034,-0.08407,0.1015,-0.00559,0.01327,0.04083,0.01743,-0.00316,-0.03831,0.08208,0.0355,-0.0791,-0.05404,0.10359,0.01916,0.02622,0.00885,0.05926,-0.00357,-0.03165,0.0744,-0.01126,0.09446
COP,-0.02752,-0.01925,0.04835,-0.0393,-0.062,-0.01633,0.0384,-0.03769,0.14636,0.02746,-0.00528,0.07881,0.07142,-0.07146,0.0917,0.10474,0.03308,0.03309,0.04085,0.01746,0.05407,-0.09317,-0.05322,-0.05787,0.08565,0.00698,-0.01636,-0.05424,-0.06131,0.0346,-0.02658,-0.11679,0.09199,-0.02379,0.08587,0.08492,-0.08611,-0.17944,-0.3639,0.36688,0.01167,-0.00379,-0.10083,0.01337,-0.13328,-0.1174,0.38225,0.01087,0.001,0.31131,0.01846,-0.03455,0.09859,0.09257,-0.07232,-0.00945,0.22042,0.10595,-0.05853,0.03208
AMGN,0.07161,0.13442,-0.07058,-0.00457,-0.04264,0.10944,0.01324,0.02557,0.04883,-0.06023,0.00926,-0.01002,0.06987,-0.00499,-0.07232,0.02346,0.03728,0.02767,0.06479,0.02342,0.03744,-0.06995,0.0876,-0.06521,-0.03883,0.02376,-0.00053,-0.05611,-0.06244,0.10546,0.01248,0.12628,-0.07243,0.10201,0.10798,0.02705,-0.10379,-0.06891,0.01502,0.17999,-0.0334,0.02682,0.03735,0.04226,0.00332,-0.14644,0.03041,0.03549,0.05006,-0.06141,0.10622,-0.03686,-0.00014,0.02442,-0.00907,-0.05917,-0.05711,-0.02671,-0.03093,0.13118
CVX,-0.05395,0.02003,-0.0456,-0.00624,-0.02017,0.00821,0.04658,-0.00442,0.0918,-0.0137,0.03643,0.05211,0.00128,-0.09825,0.01894,0.09707,0.00212,0.01714,-0.00127,-0.05292,0.03225,-0.08693,0.0755,-0.08534,0.05387,0.0535,0.03011,-0.02533,-0.04238,0.09302,-0.01069,-0.03396,0.00748,-0.02074,0.01847,0.02886,-0.11095,-0.11859,-0.2237,0.26967,0.01063,-0.02694,-0.05928,0.0146,-0.14214,-0.03472,0.27298,-0.03131,0.00888,0.18997,0.0479,-0.01641,0.01969,0.00915,-0.02797,-0.03633,0.04836,0.12854,-0.0027,0.03969
